Industry,Category,Keyword,Count,NUM WORDS IN INDUSTRY,Normalized Word Count (Percent of Total Words in Industry)
Human Resources,CORPORATE GOVERNANCE,board composition,0,397168,0
Human Resources,CORPORATE GOVERNANCE,board diversity,0,397168,0
Human Resources,CORPORATE GOVERNANCE,management divesity,0,397168,0
Human Resources,CORPORATE GOVERNANCE,company audits,0,397168,0
Human Resources,CORPORATE GOVERNANCE,executive compensation,0,397168,0
Human Resources,CORPORATE GOVERNANCE,misleading proxy,0,397168,0
Human Resources,CORPORATE GOVERNANCE,false proxy,0,397168,0
Human Resources,CORPORATE GOVERNANCE,shareholder right,0,397168,0
Human Resources,DATA PRIVACY AND SECURITY,privacy,64,397168,0.000161140877412078
Human Resources,DATA PRIVACY AND SECURITY,differential privacy,0,397168,0
Human Resources,DATA PRIVACY AND SECURITY,cybersecurity,0,397168,0
Human Resources,DATA PRIVACY AND SECURITY,data breach,1,397168,0.00000251782620956371
Human Resources,DATA PRIVACY AND SECURITY,security breach,0,397168,0
Human Resources,DATA PRIVACY AND SECURITY,biometric information privacy act,0,397168,0
Human Resources,DATA PRIVACY AND SECURITY,CCPA,0,397168,0
Human Resources,DATA PRIVACY AND SECURITY,California Consumer Privacy Act,0,397168,0
Human Resources,DATA PRIVACY AND SECURITY,Section 230,0,397168,0
Human Resources,DATA PRIVACY AND SECURITY,Computer Fraud and Abuse Act,0,397168,0
Human Resources,ETHICAL BUSINESS PRACTICES,affordability,0,397168,0
Human Resources,ETHICAL BUSINESS PRACTICES,conflict mineral,0,397168,0
Human Resources,ETHICAL BUSINESS PRACTICES,ethical supply chain,0,397168,0
Human Resources,ETHICAL BUSINESS PRACTICES,corruption,0,397168,0
Human Resources,ETHICAL BUSINESS PRACTICES,fraud,135,397168,0.000339906538291101
Human Resources,ETHICAL BUSINESS PRACTICES,Title XI,0,397168,0
Human Resources,ETHICAL BUSINESS PRACTICES,UDAP,0,397168,0
Human Resources,ETHICAL BUSINESS PRACTICES,Unfair or Deceptive Acts or Practices,30,397168,0.0000755347862869113
Human Resources,ETHICAL BUSINESS PRACTICES,UDTP,0,397168,0
Human Resources,ETHICAL BUSINESS PRACTICES,Unfair and Deceptive Trade Practice,0,397168,0
Human Resources,ETHICAL BUSINESS PRACTICES,negligence,0,397168,0
Human Resources,ETHICAL BUSINESS PRACTICES,negligent,0,397168,0
Human Resources,ETHICAL BUSINESS PRACTICES,false advertising,0,397168,0
Human Resources,MISINFORMATION AND CENSORSHIP,misinformation,0,397168,0
Human Resources,MISINFORMATION AND CENSORSHIP,censorship,0,397168,0
Human Resources,SAFETY AND WORKING CONDITIONS,safety,13,397168,0.0000327317407243282
Human Resources,SAFETY AND WORKING CONDITIONS,working condition,0,397168,0
Human Resources,SAFETY AND WORKING CONDITIONS,labor condition,0,397168,0
Human Resources,AI ETHICS AND BIAS,algorithm,10,397168,0.0000251782620956371
Human Resources,AI ETHICS AND BIAS,algorithmic bias,0,397168,0
Human Resources,AI ETHICS AND BIAS,artificial intelligence,1,397168,0.00000251782620956371
Human Resources,AI ETHICS AND BIAS,machine learning,6,397168,0.0000151069572573823
Human Resources,AI ETHICS AND BIAS,facial recognition,0,397168,0
Human Resources,AI ETHICS AND BIAS,surveillance,0,397168,0
Human Resources,AI ETHICS AND BIAS,biased algorithm,0,397168,0
Human Resources,AI ETHICS AND BIAS,biased data,0,397168,0
Human Resources,AI ETHICS AND BIAS,data bias,0,397168,0
Human Resources,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,content moderation,0,397168,0
Human Resources,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,platform responsibility,0,397168,0
Human Resources,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,user content,0,397168,0
Human Resources,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,online harassment,0,397168,0
Human Resources,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,hate speech,0,397168,0
Human Resources,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,extremist content,0,397168,0
Human Resources,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,harmful content,0,397168,0
Human Resources,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,disinformation,0,397168,0
Human Resources,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,misinformation,0,397168,0
Human Resources,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,radicalization,0,397168,0
Human Resources,DIGITAL RIGHTS AND ACCESS,net neutrality,0,397168,0
Human Resources,DIGITAL RIGHTS AND ACCESS,digital literacy,0,397168,0
Human Resources,DIGITAL RIGHTS AND ACCESS,online privacy,0,397168,0
Human Resources,ANTITRUST AND COMPETITION,antitrust,53,397168,0.000133444789106877
Human Resources,ANTITRUST AND COMPETITION,monopolies,11,397168,0.0000276960883052008
Human Resources,ANTITRUST AND COMPETITION,market dominance,0,397168,0
Human Resources,ANTITRUST AND COMPETITION,competition law,3,397168,0.00000755347862869113
Human Resources,ANTITRUST AND COMPETITION,anti-competitive,2,397168,0.00000503565241912742
Human Resources,ANTITRUST AND COMPETITION,anti competitive,0,397168,0
Human Resources,ANTITRUST AND COMPETITION,market power,6,397168,0.0000151069572573823
Human Resources,ANTITRUST AND COMPETITION,predatory pricing,0,397168,0
Human Resources,ANTITRUST AND COMPETITION,vertical integration,8,397168,0.0000201426096765097
Human Resources,WORKER CLASSIFICATION AND GIG ECONOMY,gig economy,0,397168,0
Human Resources,WORKER CLASSIFICATION AND GIG ECONOMY,independent contractor,20,397168,0.0000503565241912742
Human Resources,WORKER CLASSIFICATION AND GIG ECONOMY,contract worker,0,397168,0
Human Resources,WORKER CLASSIFICATION AND GIG ECONOMY,employee right,0,397168,0
Human Resources,WORKER CLASSIFICATION AND GIG ECONOMY,labor law,0,397168,0
Human Resources,WORKER CLASSIFICATION AND GIG ECONOMY,platform worker,0,397168,0
Human Resources,WORKER CLASSIFICATION AND GIG ECONOMY,worker protection,0,397168,0
Accounting,ENVIRONMENTAL ISSUES,environmental,0,151434,0
Accounting,ENVIRONMENTAL ISSUES,biodiversity,0,151434,0
Accounting,ENVIRONMENTAL ISSUES,climate change,0,151434,0
Accounting,ENVIRONMENTAL ISSUES,climate goal,0,151434,0
Accounting,ENVIRONMENTAL ISSUES,emission,2,151434,0.0000132070737086784
Accounting,ENVIRONMENTAL ISSUES,sustainable,1,151434,0.00000660353685433918
Accounting,ENVIRONMENTAL ISSUES,greenhouse gas,0,151434,0
Accounting,ENVIRONMENTAL ISSUES,water resource,0,151434,0
Accounting,ENVIRONMENTAL ISSUES,marine resource,0,151434,0
Accounting,ENVIRONMENTAL ISSUES,natural resource,0,151434,0
Accounting,ENVIRONMENTAL ISSUES,pollution,0,151434,0
Accounting,ENVIRONMENTAL ISSUES,pollutant,0,151434,0
Accounting,ENVIRONMENTAL ISSUES,pollute,0,151434,0
Accounting,ENVIRONMENTAL ISSUES,ecosystem,2,151434,0.0000132070737086784
Accounting,ENVIRONMENTAL ISSUES,carbon,1,151434,0.00000660353685433918
Accounting,ENVIRONMENTAL ISSUES,waste management,0,151434,0
Accounting,SOCIAL ISSUES,DEI,0,151434,0
Accounting,SOCIAL ISSUES,"diversity, equity and inclusion",0,151434,0
Accounting,SOCIAL ISSUES,diversity,0,151434,0
Accounting,SOCIAL ISSUES,forced labor,0,151434,0
Accounting,SOCIAL ISSUES,human right,0,151434,0
Accounting,SOCIAL ISSUES,right to,14,151434,0.0000924495159607486
Accounting,SOCIAL ISSUES,community impact,0,151434,0
Accounting,SOCIAL ISSUES,Equal pay,0,151434,0
Accounting,SOCIAL ISSUES,discrimination,5,151434,0.0000330176842716959
Accounting,SOCIAL ISSUES,harassment,0,151434,0
Accounting,SOCIAL ISSUES,sexual harassment,0,151434,0
Accounting,SOCIAL ISSUES,racial harassment,0,151434,0
Accounting,SOCIAL ISSUES,wage,0,151434,0
Accounting,SOCIAL ISSUES,labor condition,0,151434,0
Accounting,SOCIAL ISSUES,child labor,0,151434,0
Accounting,SOCIAL ISSUES,working condition,0,151434,0
Accounting,SOCIAL ISSUES,employee relation,0,151434,0
Accounting,CORPORATE GOVERNANCE,governance,0,151434,0
Accounting,CORPORATE GOVERNANCE,board composition,0,151434,0
Accounting,CORPORATE GOVERNANCE,board diversity,0,151434,0
Accounting,CORPORATE GOVERNANCE,management divesity,0,151434,0
Accounting,CORPORATE GOVERNANCE,company audits,0,151434,0
Accounting,CORPORATE GOVERNANCE,executive compensation,0,151434,0
Accounting,CORPORATE GOVERNANCE,misleading proxy,0,151434,0
Accounting,CORPORATE GOVERNANCE,false proxy,0,151434,0
Accounting,CORPORATE GOVERNANCE,shareholder right,0,151434,0
Accounting,DATA PRIVACY AND SECURITY,privacy,3,151434,0.0000198106105630176
Accounting,DATA PRIVACY AND SECURITY,differential privacy,0,151434,0
Accounting,DATA PRIVACY AND SECURITY,cybersecurity,0,151434,0
Accounting,DATA PRIVACY AND SECURITY,data breach,1,151434,0.00000660353685433918
Accounting,DATA PRIVACY AND SECURITY,security breach,0,151434,0
Accounting,DATA PRIVACY AND SECURITY,biometric information privacy act,0,151434,0
Accounting,DATA PRIVACY AND SECURITY,CCPA,0,151434,0
Accounting,DATA PRIVACY AND SECURITY,California Consumer Privacy Act,0,151434,0
Accounting,DATA PRIVACY AND SECURITY,Section 230,0,151434,0
Accounting,DATA PRIVACY AND SECURITY,Computer Fraud and Abuse Act,0,151434,0
Accounting,ETHICAL BUSINESS PRACTICES,affordability,0,151434,0
Accounting,ETHICAL BUSINESS PRACTICES,conflict mineral,0,151434,0
Accounting,ETHICAL BUSINESS PRACTICES,ethical supply chain,0,151434,0
Accounting,ETHICAL BUSINESS PRACTICES,corruption,0,151434,0
Accounting,ETHICAL BUSINESS PRACTICES,fraud,0,151434,0
Accounting,ETHICAL BUSINESS PRACTICES,Title XI,0,151434,0
Accounting,ETHICAL BUSINESS PRACTICES,UDAP,0,151434,0
Accounting,ETHICAL BUSINESS PRACTICES,Unfair or Deceptive Acts or Practices,8,151434,0.0000528282948347135
Accounting,ETHICAL BUSINESS PRACTICES,UDTP,0,151434,0
Accounting,ETHICAL BUSINESS PRACTICES,Unfair and Deceptive Trade Practice,0,151434,0
Accounting,ETHICAL BUSINESS PRACTICES,negligence,0,151434,0
Accounting,ETHICAL BUSINESS PRACTICES,negligent,0,151434,0
Accounting,ETHICAL BUSINESS PRACTICES,false advertising,2,151434,0.0000132070737086784
Accounting,MISINFORMATION AND CENSORSHIP,misinformation,0,151434,0
Accounting,MISINFORMATION AND CENSORSHIP,censorship,0,151434,0
Accounting,SAFETY AND WORKING CONDITIONS,safety,9,151434,0.0000594318316890527
Accounting,SAFETY AND WORKING CONDITIONS,working condition,0,151434,0
Accounting,SAFETY AND WORKING CONDITIONS,labor condition,0,151434,0
Accounting,AI ETHICS AND BIAS,algorithm,12,151434,0.0000792424422520702
Accounting,AI ETHICS AND BIAS,algorithmic bias,0,151434,0
Accounting,AI ETHICS AND BIAS,artificial intelligence,1,151434,0.00000660353685433918
Accounting,AI ETHICS AND BIAS,machine learning,6,151434,0.0000396212211260351
Accounting,AI ETHICS AND BIAS,facial recognition,0,151434,0
Accounting,AI ETHICS AND BIAS,surveillance,0,151434,0
Accounting,AI ETHICS AND BIAS,biased algorithm,0,151434,0
Accounting,AI ETHICS AND BIAS,biased data,0,151434,0
Accounting,AI ETHICS AND BIAS,data bias,0,151434,0
Accounting,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,content moderation,0,151434,0
Accounting,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,platform responsibility,0,151434,0
Accounting,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,user content,0,151434,0
Accounting,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,online harassment,0,151434,0
Accounting,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,hate speech,0,151434,0
Accounting,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,extremist content,0,151434,0
Accounting,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,harmful content,0,151434,0
Accounting,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,disinformation,0,151434,0
Accounting,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,misinformation,0,151434,0
Accounting,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,radicalization,0,151434,0
Accounting,DIGITAL RIGHTS AND ACCESS,net neutrality,0,151434,0
Accounting,DIGITAL RIGHTS AND ACCESS,digital literacy,0,151434,0
Accounting,DIGITAL RIGHTS AND ACCESS,online privacy,0,151434,0
Accounting,ANTITRUST AND COMPETITION,antitrust,48,151434,0.000316969769008281
Accounting,ANTITRUST AND COMPETITION,monopolies,11,151434,0.000072638905397731
Accounting,ANTITRUST AND COMPETITION,market dominance,0,151434,0
Accounting,ANTITRUST AND COMPETITION,competition law,3,151434,0.0000198106105630176
Accounting,ANTITRUST AND COMPETITION,anti-competitive,2,151434,0.0000132070737086784
Accounting,ANTITRUST AND COMPETITION,anti competitive,0,151434,0
Accounting,ANTITRUST AND COMPETITION,market power,6,151434,0.0000396212211260351
Accounting,ANTITRUST AND COMPETITION,predatory pricing,0,151434,0
Accounting,ANTITRUST AND COMPETITION,vertical integration,8,151434,0.0000528282948347135
Accounting,WORKER CLASSIFICATION AND GIG ECONOMY,gig economy,0,151434,0
Accounting,WORKER CLASSIFICATION AND GIG ECONOMY,independent contractor,0,151434,0
Accounting,WORKER CLASSIFICATION AND GIG ECONOMY,contract worker,0,151434,0
Accounting,WORKER CLASSIFICATION AND GIG ECONOMY,employee right,0,151434,0
Accounting,WORKER CLASSIFICATION AND GIG ECONOMY,labor law,0,151434,0
Accounting,WORKER CLASSIFICATION AND GIG ECONOMY,platform worker,0,151434,0
Accounting,WORKER CLASSIFICATION AND GIG ECONOMY,worker protection,0,151434,0
Funerals,ENVIRONMENTAL ISSUES,environmental,6,210000,0.0000285714285714286
Funerals,ENVIRONMENTAL ISSUES,biodiversity,0,210000,0
Funerals,ENVIRONMENTAL ISSUES,climate change,0,210000,0
Funerals,ENVIRONMENTAL ISSUES,climate goal,0,210000,0
Funerals,ENVIRONMENTAL ISSUES,emission,4,210000,0.000019047619047619
Funerals,ENVIRONMENTAL ISSUES,sustainable,1,210000,0.00000476190476190476
Funerals,ENVIRONMENTAL ISSUES,greenhouse gas,0,210000,0
Funerals,ENVIRONMENTAL ISSUES,water resource,0,210000,0
Funerals,ENVIRONMENTAL ISSUES,marine resource,0,210000,0
Funerals,ENVIRONMENTAL ISSUES,natural resource,0,210000,0
Funerals,ENVIRONMENTAL ISSUES,pollution,0,210000,0
Funerals,ENVIRONMENTAL ISSUES,pollutant,0,210000,0
Funerals,ENVIRONMENTAL ISSUES,pollute,0,210000,0
Funerals,ENVIRONMENTAL ISSUES,ecosystem,2,210000,0.00000952380952380952
Funerals,ENVIRONMENTAL ISSUES,carbon,1,210000,0.00000476190476190476
Funerals,ENVIRONMENTAL ISSUES,waste management,0,210000,0
Funerals,SOCIAL ISSUES,DEI,0,210000,0
Funerals,SOCIAL ISSUES,"diversity, equity and inclusion",0,210000,0
Funerals,SOCIAL ISSUES,diversity,0,210000,0
Funerals,SOCIAL ISSUES,forced labor,0,210000,0
Funerals,SOCIAL ISSUES,human right,0,210000,0
Funerals,SOCIAL ISSUES,right to,39,210000,0.000185714285714286
Funerals,SOCIAL ISSUES,community impact,0,210000,0
Funerals,SOCIAL ISSUES,Equal pay,0,210000,0
Funerals,SOCIAL ISSUES,discrimination,5,210000,0.0000238095238095238
Funerals,SOCIAL ISSUES,harassment,0,210000,0
Funerals,SOCIAL ISSUES,sexual harassment,0,210000,0
Funerals,SOCIAL ISSUES,racial harassment,0,210000,0
Funerals,SOCIAL ISSUES,wage,1,210000,0.00000476190476190476
Funerals,SOCIAL ISSUES,labor condition,0,210000,0
Funerals,SOCIAL ISSUES,child labor,0,210000,0
Funerals,SOCIAL ISSUES,working condition,0,210000,0
Funerals,SOCIAL ISSUES,employee relation,0,210000,0
Funerals,CORPORATE GOVERNANCE,governance,0,210000,0
Funerals,CORPORATE GOVERNANCE,board composition,0,210000,0
Funerals,CORPORATE GOVERNANCE,board diversity,0,210000,0
Funerals,CORPORATE GOVERNANCE,management divesity,0,210000,0
Funerals,CORPORATE GOVERNANCE,company audits,0,210000,0
Funerals,CORPORATE GOVERNANCE,executive compensation,0,210000,0
Funerals,CORPORATE GOVERNANCE,misleading proxy,0,210000,0
Funerals,CORPORATE GOVERNANCE,false proxy,0,210000,0
Funerals,CORPORATE GOVERNANCE,shareholder right,0,210000,0
Funerals,DATA PRIVACY AND SECURITY,privacy,34,210000,0.000161904761904762
Funerals,DATA PRIVACY AND SECURITY,differential privacy,0,210000,0
Funerals,DATA PRIVACY AND SECURITY,cybersecurity,2,210000,0.00000952380952380952
Funerals,DATA PRIVACY AND SECURITY,data breach,1,210000,0.00000476190476190476
Funerals,DATA PRIVACY AND SECURITY,security breach,0,210000,0
Funerals,DATA PRIVACY AND SECURITY,biometric information privacy act,0,210000,0
Funerals,DATA PRIVACY AND SECURITY,CCPA,0,210000,0
Funerals,DATA PRIVACY AND SECURITY,California Consumer Privacy Act,0,210000,0
Funerals,DATA PRIVACY AND SECURITY,Section 230,0,210000,0
Funerals,DATA PRIVACY AND SECURITY,Computer Fraud and Abuse Act,0,210000,0
Funerals,ETHICAL BUSINESS PRACTICES,affordability,0,210000,0
Funerals,ETHICAL BUSINESS PRACTICES,conflict mineral,0,210000,0
Funerals,ETHICAL BUSINESS PRACTICES,ethical supply chain,0,210000,0
Funerals,ETHICAL BUSINESS PRACTICES,corruption,0,210000,0
Funerals,ETHICAL BUSINESS PRACTICES,fraud,11,210000,0.0000523809523809524
Funerals,ETHICAL BUSINESS PRACTICES,Title XI,0,210000,0
Funerals,ETHICAL BUSINESS PRACTICES,UDAP,0,210000,0
Funerals,ETHICAL BUSINESS PRACTICES,Unfair or Deceptive Acts or Practices,29,210000,0.000138095238095238
Funerals,ETHICAL BUSINESS PRACTICES,UDTP,0,210000,0
Funerals,ETHICAL BUSINESS PRACTICES,Unfair and Deceptive Trade Practice,0,210000,0
Funerals,ETHICAL BUSINESS PRACTICES,negligence,0,210000,0
Funerals,ETHICAL BUSINESS PRACTICES,negligent,0,210000,0
Funerals,ETHICAL BUSINESS PRACTICES,false advertising,0,210000,0
Funerals,MISINFORMATION AND CENSORSHIP,misinformation,0,210000,0
Funerals,MISINFORMATION AND CENSORSHIP,censorship,0,210000,0
Funerals,SAFETY AND WORKING CONDITIONS,safety,5,210000,0.0000238095238095238
Funerals,SAFETY AND WORKING CONDITIONS,working condition,0,210000,0
Funerals,SAFETY AND WORKING CONDITIONS,labor condition,0,210000,0
Funerals,AI ETHICS AND BIAS,algorithm,10,210000,0.0000476190476190476
Funerals,AI ETHICS AND BIAS,algorithmic bias,0,210000,0
Funerals,AI ETHICS AND BIAS,artificial intelligence,1,210000,0.00000476190476190476
Funerals,AI ETHICS AND BIAS,machine learning,6,210000,0.0000285714285714286
Funerals,AI ETHICS AND BIAS,facial recognition,0,210000,0
Funerals,AI ETHICS AND BIAS,surveillance,0,210000,0
Funerals,AI ETHICS AND BIAS,biased algorithm,0,210000,0
Funerals,AI ETHICS AND BIAS,biased data,0,210000,0
Funerals,AI ETHICS AND BIAS,data bias,0,210000,0
Funerals,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,content moderation,0,210000,0
Funerals,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,platform responsibility,0,210000,0
Funerals,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,user content,0,210000,0
Funerals,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,online harassment,0,210000,0
Funerals,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,hate speech,0,210000,0
Funerals,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,extremist content,0,210000,0
Funerals,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,harmful content,0,210000,0
Funerals,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,disinformation,0,210000,0
Funerals,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,misinformation,0,210000,0
Funerals,PLATFORM RESPONSIBILITY AND CONTENT MODERATION,radicalization,0,210000,0
Funerals,DIGITAL RIGHTS AND ACCESS,net neutrality,0,210000,0
Funerals,DIGITAL RIGHTS AND ACCESS,digital literacy,0,210000,0
Funerals,DIGITAL RIGHTS AND ACCESS,online privacy,2,210000,0.00000952380952380952
Funerals,ANTITRUST AND COMPETITION,antitrust,53,210000,0.000252380952380952
Funerals,ANTITRUST AND COMPETITION,monopolies,11,210000,0.0000523809523809524
Funerals,ANTITRUST AND COMPETITION,market dominance,0,210000,0
Funerals,ANTITRUST AND COMPETITION,competition law,3,210000,0.0000142857142857143
Funerals,ANTITRUST AND COMPETITION,anti-competitive,2,210000,0.00000952380952380952
Funerals,ANTITRUST AND COMPETITION,anti competitive,0,210000,0
Funerals,ANTITRUST AND COMPETITION,market power,6,210000,0.0000285714285714286
Funerals,ANTITRUST AND COMPETITION,predatory pricing,0,210000,0
Funerals,ANTITRUST AND COMPETITION,vertical integration,8,210000,0.0000380952380952381
Funerals,WORKER CLASSIFICATION AND GIG ECONOMY,gig economy,0,210000,0
Funerals,WORKER CLASSIFICATION AND GIG ECONOMY,independent contractor,3,210000,0.0000142857142857143
Funerals,WORKER CLASSIFICATION AND GIG ECONOMY,contract worker,0,210000,0
Funerals,WORKER CLASSIFICATION AND GIG ECONOMY,employee right,0,210000,0
Funerals,WORKER CLASSIFICATION AND GIG ECONOMY,labor law,0,210000,0
Funerals,WORKER CLASSIFICATION AND GIG ECONOMY,platform worker,0,210000,0
Funerals,WORKER CLASSIFICATION AND GIG ECONOMY,worker protection,0,210000,0
Transportation,ENVIRONMENTAL ISSUES,environmental,0,139925,0
Transportation,ENVIRONMENTAL ISSUES,biodiversity,0,139925,0
Transportation,ENVIRONMENTAL ISSUES,climate change,0,139925,0
Transportation,ENVIRONMENTAL ISSUES,climate goal,0,139925,0
Transportation,ENVIRONMENTAL ISSUES,emission,6,139925,0.0000428801143469716
Transportation,ENVIRONMENTAL ISSUES,sustainable,5,139925,0.0000357334286224763
Transportation,ENVIRONMENTAL ISSUES,greenhouse gas,0,139925,0
Transportation,ENVIRONMENTAL ISSUES,water resource,0,139925,0
Transportation,ENVIRONMENTAL ISSUES,marine resource,0,139925,0
Transportation,ENVIRONMENTAL ISSUES,natural resource,0,139925,0
Transportation,ENVIRONMENTAL ISSUES,pollution,0,139925,0
Transportation,ENVIRONMENTAL ISSUES,pollutant,0,139925,0
Transportation,ENVIRONMENTAL ISSUES,pollute,0,139925,0
Transportation,ENVIRONMENTAL ISSUES,ecosystem,2,139925,0.0000142933714489905
Transportation,ENVIRONMENTAL ISSUES,carbon,1,139925,0.00000714668572449527
Transportation,ENVIRONMENTAL ISSUES,waste management,0,139925,0
Transportation,SOCIAL ISSUES,DEI,0,139925,0
Transportation,SOCIAL ISSUES,"diversity, equity and inclusion",0,139925,0
Transportation,SOCIAL ISSUES,diversity,1,139925,0.00000714668572449527
Transportation,SOCIAL ISSUES,forced labor,0,139925,0
Transportation,SOCIAL ISSUES,human right,0,139925,0
Transportation,SOCIAL ISSUES,right to,14,139925,0.000100053600142934
Transportation,SOCIAL ISSUES,community impact,0,139925,0
Transportation,SOCIAL ISSUES,Equal pay,0,139925,0
Transportation,SOCIAL ISSUES,discrimination,5,139925,0.0000357334286224763
Transportation,SOCIAL ISSUES,harassment,0,139925,0
Transportation,SOCIAL ISSUES,sexual harassment,0,139925,0
Transportation,SOCIAL ISSUES,racial harassment,0,139925,0
Transportation,SOCIAL ISSUES,wage,0,139925,0
Transportation,SOCIAL ISSUES,labor condition,0,139925,0
Transportation,SOCIAL ISSUES,child labor,0,139925,0
Transportation,SOCIAL ISSUES,working condition,0,139925,0
Transportation,SOCIAL ISSUES,employee relation,0,139925,0
Transportation,CORPORATE GOVERNANCE,governance,0,139925,0
Transportation,CORPORATE GOVERNANCE,board composition,0,139925,0
Transportation,CORPORATE GOVERNANCE,board diversity,0,139925,0
Transportation,CORPORATE GOVERNANCE,management divesity,0,139925,0
Transportation,CORPORATE GOVERNANCE,company audits,0,139925,0
Transportation,CORPORATE GOVERNANCE,executive compensation,0,139925,0
Transportation,CORPORATE GOVERNANCE,misleading proxy,0,139925,0
Transportation,CORPORATE GOVERNANCE,false proxy,0,139925,0
Transportation,CORPORATE GOVERNANCE,shareholder right,0,139925,0
Transportation,DATA PRIVACY AND SECURITY,privacy,5,139925,0.0000357334286224763
Transportation,DATA PRIVACY AND SECURITY,differential privacy,0,139925,0
Transportation,DATA PRIVACY AND SECURITY,cybersecurity,0,139925,0
Transportation,DATA PRIVACY AND SECURITY,data breach,1,139925,0.00000714668572449527
Transportation,DATA PRIVACY AND SECURITY,security breach,0,139925,0
Transportation,DATA PRIVACY AND SECURITY,biometric information privacy act,0,139925,0
Transportation,DATA PRIVACY AND SECURITY,CCPA,0,139925,0
Transportation,DATA PRIVACY AND SECURITY,California Consumer Privacy Act,0,139925,0
Transportation,DATA PRIVACY AND SECURITY,Section 230,0,139925,0
Transportation,DATA PRIVACY AND SECURITY,Computer Fraud and Abuse Act,0,139925,0
Transportation,ETHICAL BUSINESS PRACTICES,affordability,0,139925,0
